"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
88,49,50,59,42,45,82,59,26,39,65,61,76,59,19,57,79,18,32,34
89,48,47,52,49,50,89,67,23,34,72,61,62,63,19,48,87,27,31,27
92,49,51,50,46,49,77,62,24,33,80,64,67,78,19,44,80,14,39,32
91,45,44,50,52,58,81,60,18,35,79,58,61,68,23,52,74,22,36,29
92,44,49,60,60,53,83,71,22,41,64,61,49,69,30,47,70,15,26,35
95,52,48,53,51,49,81,52,22,38,77,69,64,61,26,51,69,18,32,31
95,50,53,58,54,45,81,67,24,37,74,58,62,64,23,53,70,15,27,29
89,53,38,55,42,37,81,67,22,40,81,65,68,79,24,44,84,15,28,35
88,57,55,54,54,46,85,59,18,38,77,56,63,63,23,48,85,21,27,28
89,60,48,48,55,48,74,66,20,44,71,63,69,71,19,48,87,20,26,23
87,49,46,55,50,46,85,65,29,49,75,63,62,63,18,42,78,22,27,35
86,47,44,54,51,54,82,59,30,34,82,58,66,68,17,44,86,16,27,34
96,42,53,55,49,46,79,58,22,45,65,71,55,72,22,47,79,23,32,32
87,48,49,55,60,53,84,66,27,33,67,58,58,68,15,54,77,20,27,30
94,63,52,52,46,46,81,60,16,48,69,61,63,75,19,49,86,18,27,29
84,47,49,53,59,50,81,64,22,37,70,60,65,71,20,52,79,21,28,26
93,51,47,61,50,43,78,77,27,33,67,63,66,72,15,48,77,21,31,29
90,47,51,53,51,43,75,62,25,42,82,52,61,75,20,50,73,16,33,29
93,47,52,51,43,47,79,68,28,37,85,62,58,68,18,50,74,23,27,27
95,52,52,47,44,51,79,65,26,33,69,67,65,60,26,53,83,17,27,36
95,43,46,62,49,43,76,63,25,45,78,62,64,65,23,62,77,19,31,27
87,47,49,57,45,48,73,68,18,34,81,63,67,75,30,47,79,16,30,27
91,53,51,51,50,53,74,55,26,44,71,62,59,65,20,49,75,14,34,33
92,49,43,56,49,43,76,79,27,43,67,66,61,73,16,48,83,20,28,25
83,45,49,57,54,44,79,70,27,34,79,70,69,70,23,45,75,16,26,30
93,50,45,57,50,40,82,61,30,28,78,73,54,61,23,62,82,19,33,30
90,52,47,44,56,55,73,56,23,43,73,64,59,69,23,47,75,16,37,35
90,49,46,46,52,52,81,62,33,45,77,56,58,70,23,52,76,12,26,33
92,51,44,44,47,49,82,53,26,47,66,58,71,67,16,57,75,20,38,40
95,51,43,57,53,46,73,63,29,38,77,61,58,64,19,51,79,16,37,29
97,58,50,43,50,51,79,62,24,34,79,60,57,64,25,46,85,22,27,31
85,56,51,51,45,50,85,63,29,39,74,60,65,66,16,44,79,17,29,30
86,50,50,60,41,43,74,69,24,39,72,73,71,73,22,46,75,16,24,31
84,62,51,48,52,43,88,56,26,43,67,57,63,58,24,51,79,13,34,29
88,52,50,65,61,45,78,66,27,38,73,56,61,71,20,45,81,11,33,24
92,56,52,52,50,45,75,65,24,33,71,68,56,69,20,47,83,21,32,31
80,57,48,55,49,54,90,70,20,48,74,62,61,64,20,46,78,23,25,27
89,39,46,47,48,59,86,55,32,37,73,68,56,70,25,65,66,15,32,30
93,48,52,59,50,45,82,67,25,32,73,62,66,72,18,44,86,18,32,30
95,49,51,53,52,40,81,56,27,40,79,70,69,68,24,49,80,9,29,28
94,46,49,52,51,42,73,62,23,49,76,63,55,74,22,54,76,17,29,31
94,45,47,56,52,43,81,60,31,38,73,65,62,63,20,61,79,16,26,35
90,54,45,58,45,45,81,67,22,48,75,73,61,66,19,46,80,16,28,28
99,45,57,54,46,43,76,60,20,39,75,65,58,68,22,54,84,21,26,30
90,47,52,53,55,43,72,61,20,42,77,57,60,73,20,56,81,13,40,35
90,53,49,48,47,46,78,65,28,51,74,56,58,64,21,54,89,17,28,27
94,50,46,47,53,51,72,62,21,44,79,70,55,64,22,47,87,12,35,28
90,55,59,52,51,43,86,65,32,41,71,62,52,68,18,51,83,12,37,28
91,65,45,53,51,47,90,61,26,38,74,62,55,63,22,55,77,16,27,30
86,58,62,45,50,45,79,59,32,31,74,57,64,68,22,52,73,21,31,29
90,49,51,52,51,44,84,73,22,35,72,64,57,66,20,53,83,14,35,29
90,49,45,52,45,44,74,71,27,44,74,62,64,74,16,47,82,23,30,29
88,51,40,47,50,47,76,75,34,41,77,65,64,63,23,43,74,23,34,27
97,41,58,60,49,45,83,59,27,33,70,57,61,72,21,38,87,18,36,35
88,50,53,52,50,47,76,61,31,39,71,67,54,68,17,51,76,21,31,37
94,50,49,52,57,43,80,71,21,35,87,58,59,66,20,47,81,19,31,28
93,54,51,46,47,34,84,56,27,42,74,60,62,75,24,44,75,19,34,31
94,59,52,54,50,43,81,57,19,47,67,62,65,66,16,53,81,19,26,31
88,53,46,55,43,55,83,72,24,44,77,58,67,61,20,42,88,17,31,29
85,52,45,57,58,50,83,59,27,38,74,57,61,76,23,42,80,16,29,32
86,54,60,56,52,45,75,60,22,30,65,61,63,70,24,49,82,18,37,26
86,44,42,57,56,47,81,68,29,36,80,64,56,76,17,47,90,20,27,25
86,48,43,54,51,45,68,71,21,39,76,63,57,69,25,46,86,21,25,35
96,54,44,65,47,40,80,63,22,35,74,61,71,70,23,49,71,18,34,26
97,55,48,55,57,42,76,60,22,37,73,60,58,77,18,45,84,20,35,23
88,45,44,50,51,50,76,55,29,39,72,66,75,66,19,46,76,15,30,38
95,54,47,51,54,60,86,56,29,38,64,59,64,74,22,38,81,15,31,25
95,54,54,52,51,48,84,58,26,36,65,58,64,65,18,39,80,22,28,31
93,49,45,60,56,47,69,59,23,48,72,58,65,67,21,51,74,11,26,33
87,50,50,55,49,45,79,65,25,35,76,57,67,72,17,55,78,17,35,28
84,57,45,58,48,47,74,60,23,42,72,74,63,71,18,51,71,16,30,34
99,54,45,48,38,42,76,67,30,38,76,67,71,69,20,50,81,20,30,22
87,51,42,62,53,46,76,65,26,37,74,61,54,71,20,49,82,18,31,34
85,48,42,51,48,50,72,71,30,40,68,64,51,75,23,49,93,15,33,23
87,47,47,58,55,48,86,63,25,35,71,57,63,64,23,52,81,18,32,26
91,51,49,55,49,46,73,70,32,46,69,64,59,72,21,50,75,14,25,30
86,55,45,58,55,42,85,65,26,36,71,57,68,69,24,41,82,22,36,28
89,46,45,48,60,53,77,69,27,34,71,53,72,68,23,57,81,17,31,27
87,50,47,57,47,44,81,71,22,44,74,57,66,69,23,56,80,10,30,31
83,47,53,55,52,41,79,61,33,40,66,57,60,70,19,57,85,21,37,24
80,53,45,64,36,38,74,62,25,48,77,68,62,64,19,53,85,25,34,31
92,52,46,54,50,53,83,59,24,41,79,65,58,59,17,50,79,16,33,28
99,45,57,57,50,47,76,62,33,31,74,55,62,71,16,44,88,20,28,27
87,45,56,46,43,42,77,67,23,42,69,66,60,62,25,43,88,20,36,33
92,45,44,64,42,48,75,68,24,42,75,65,55,72,22,52,77,17,34,35
85,47,51,62,54,41,80,70,20,30,79,67,67,65,23,51,83,19,27,33
90,50,52,46,46,55,76,51,27,31,82,70,72,63,19,51,81,17,33,33
88,49,51,48,52,42,77,63,24,39,76,57,65,65,25,55,74,18,32,38
84,53,47,52,49,46,75,55,31,41,66,61,71,64,23,49,84,25,25,35
82,52,54,58,36,53,74,53,32,33,70,64,71,76,21,44,77,12,33,37
95,53,44,53,57,56,69,62,27,34,72,63,68,66,21,49,76,24,21,29
84,50,60,45,53,47,76,61,28,33,78,68,60,62,18,51,76,19,34,31
90,45,46,63,46,50,77,62,22,35,81,69,65,67,20,44,77,17,29,31
90,58,45,57,45,46,81,65,30,33,72,58,64,76,19,58,75,19,32,26
88,57,54,50,45,53,75,57,33,35,79,65,64,70,23,44,81,15,22,34
93,55,51,58,47,50,77,65,23,33,77,62,67,68,20,43,76,21,26,35
88,58,43,58,48,38,79,72,27,38,67,65,65,66,19,50,85,19,34,31
96,54,45,64,47,40,78,67,28,39,71,55,62,73,20,48,77,24,34,26
85,52,49,57,47,52,83,61,24,41,74,64,58,70,16,49,85,23,36,25
85,55,46,55,50,51,88,59,26,41,72,60,62,69,25,50,82,11,34,24
84,59,44,55,58,48,77,60,24,31,74,71,60,71,17,47,72,20,32,36
93,52,47,61,44,40,83,56,26,33,71,63,59,66,19,58,82,23,30,32
92,51,55,55,55,44,77,66,28,41,72,70,58,70,17,41,77,16,27,30
94,42,53,57,47,45,80,52,24,39,72,62,67,71,20,52,75,14,35,35
90,42,49,56,48,50,78,62,27,39,71,74,67,70,20,51,76,18,28,26
80,46,51,52,50,47,79,59,15,27,78,61,69,79,25,61,88,20,25,33
99,58,47,48,46,49,75,56,24,51,72,66,55,66,24,58,79,20,19,32
96,55,37,53,55,56,80,58,27,40,82,62,59,66,21,38,77,23,32,31
92,53,42,54,49,46,86,68,19,46,77,58,66,67,19,48,79,19,29,33
90,47,43,57,52,40,77,66,26,37,76,61,56,65,22,57,83,16,28,36
92,43,57,46,57,45,80,68,32,40,81,49,64,72,21,48,78,12,30,29
93,53,49,56,52,51,80,60,26,44,69,71,59,74,21,39,75,13,25,35
89,46,49,53,52,53,80,55,29,38,77,59,58,78,17,48,68,19,35,33
97,51,42,56,48,41,73,59,21,44,68,65,65,74,24,54,72,19,36,30
94,48,41,54,49,50,76,64,30,44,75,57,65,71,17,45,81,17,30,33
88,51,47,63,45,38,82,61,22,34,79,61,57,77,22,56,82,17,35,24
87,47,42,56,49,41,83,68,31,46,74,64,57,64,22,44,71,27,35,27
92,46,39,57,59,43,76,62,24,47,75,66,64,71,17,41,80,20,36,32
87,48,46,55,52,39,81,56,23,44,81,59,56,76,21,54,79,18,34,35
95,49,56,52,49,45,80,68,23,40,71,57,62,64,17,48,84,26,28,28
87,54,45,52,50,45,73,59,22,38,72,59,61,64,22,58,87,24,36,29
82,49,46,57,50,38,74,68,32,45,76,67,63,67,22,44,77,18,32,27
83,43,43,59,43,55,77,63,25,51,82,70,61,61,18,54,85,16,31,29
90,50,48,50,42,49,80,62,29,35,75,62,70,66,19,42,86,17,27,37
90,50,38,54,52,52,79,63,26,38,75,68,58,77,18,47,77,22,27,32
92,53,51,61,39,55,88,62,29,41,71,59,60,71,20,42,79,19,28,25
90,41,44,48,59,46,76,59,22,43,63,70,59,68,21,50,76,22,39,33
87,57,53,56,46,41,75,55,34,41,75,59,66,63,22,50,75,16,29,31
92,52,45,51,56,48,72,63,22,37,84,56,68,65,18,56,83,22,31,26
91,64,54,49,46,45,78,71,34,38,72,54,57,71,15,48,90,18,26,29
91,57,49,63,51,32,82,64,23,33,69,67,60,59,22,52,74,28,43,23
93,52,43,49,45,54,82,64,23,44,79,57,69,68,19,51,74,17,24,30
86,43,50,49,52,46,76,62,29,35,89,63,59,77,21,52,79,16,27,26
91,57,45,46,57,50,76,63,22,31,79,56,66,64,20,45,82,18,44,27
87,63,46,57,55,42,82,63,20,42,63,53,64,65,26,54,84,18,30,22
89,58,37,48,47,39,85,66,24,38,70,59,64,74,19,59,81,18,28,37
89,55,58,58,45,45,71,56,24,46,76,64,61,63,18,42,84,16,42,32
92,49,49,54,58,42,81,54,24,43,76,62,56,74,20,43,82,15,31,28
89,49,38,40,65,47,69,57,32,42,80,74,66,66,16,50,78,14,34,33
97,55,44,61,58,49,74,59,24,42,76,55,55,67,22,40,84,16,30,28
84,60,46,53,48,50,74,66,23,30,68,69,68,75,16,50,79,18,34,33
86,51,39,56,43,53,82,63,25,46,72,62,59,64,21,50,84,16,34,31
87,44,54,52,53,41,83,71,23,35,72,58,64,70,27,37,78,22,32,30
85,52,48,53,55,53,87,59,24,45,69,62,57,57,21,49,73,23,30,32
86,58,37,58,44,42,80,62,30,41,75,58,62,69,26,43,90,15,26,33
85,49,44,53,49,47,80,68,34,40,71,58,67,67,20,50,78,21,30,30
92,42,53,47,45,50,73,60,21,38,76,65,67,65,22,54,75,20,33,30
83,52,56,53,55,39,92,65,26,32,70,57,66,71,23,46,77,24,26,28
86,40,49,51,52,43,78,63,40,33,69,57,63,75,19,51,85,14,30,35
91,55,47,54,50,49,76,62,22,32,68,68,67,72,19,45,85,23,33,26
93,56,50,50,42,48,82,64,26,40,77,60,66,69,21,51,76,22,27,24
91,53,51,54,39,43,74,48,24,42,79,57,67,78,22,46,89,23,30,31
97,49,42,43,55,45,83,61,24,33,75,58,68,67,19,52,81,23,31,36
88,50,51,56,55,46,80,62,27,36,70,61,68,66,22,45,85,15,28,33
87,52,52,57,48,44,73,64,28,36,69,63,64,69,19,43,90,19,25,33
92,47,50,49,51,42,76,66,26,33,76,56,66,72,20,56,73,16,34,35
94,47,42,52,50,47,79,69,28,40,72,59,72,67,16,41,79,18,32,32
90,58,41,50,51,37,78,58,21,46,80,56,75,74,25,41,75,17,28,32
93,53,50,47,43,49,79,60,18,36,73,65,63,77,20,52,79,20,33,33
93,49,49,56,53,46,70,61,25,35,66,61,65,72,26,45,81,18,29,33
93,54,51,53,55,52,87,55,28,41,72,62,57,71,16,47,76,15,25,32
95,42,41,57,46,47,77,63,26,43,68,68,70,62,23,43,85,12,39,30
80,50,52,63,53,47,78,64,30,44,76,52,59,72,22,39,83,20,24,33
95,54,46,52,46,47,78,62,24,39,76,64,62,70,22,43,80,22,36,24
94,51,46,54,47,46,89,65,27,35,71,66,57,73,23,46,80,21,30,23
88,48,45,52,46,54,79,69,23,41,76,70,69,73,22,47,80,12,27,25
93,55,51,52,45,46,78,58,20,42,72,63,61,66,27,46,78,16,42,29
85,48,58,53,52,47,86,67,32,43,71,62,51,73,18,48,76,19,27,26
88,60,44,50,52,50,83,62,28,34,77,57,55,70,21,53,81,23,34,27
92,54,50,61,49,41,74,66,19,34,77,58,62,65,20,53,82,20,34,39
87,52,43,55,45,54,81,63,28,41,75,65,61,72,22,44,83,14,27,29
86,53,49,52,52,39,76,61,32,41,76,61,71,77,22,52,74,18,24,26
85,52,47,57,47,45,85,62,22,36,74,68,65,71,15,43,81,24,31,33
87,57,50,50,42,37,80,59,25,40,80,70,65,68,23,48,83,21,24,31
86,46,50,57,49,42,82,72,24,49,79,50,68,67,15,49,82,24,34,29
88,45,40,58,43,53,79,60,31,35,76,56,63,78,21,49,79,19,32,38
99,50,50,47,51,49,69,65,23,41,78,74,63,67,16,47,84,21,33,24
87,41,48,54,61,48,75,64,22,33,64,66,59,59,23,57,87,15,42,32
90,58,51,53,45,50,73,54,20,46,79,64,61,74,17,52,87,16,25,33
89,42,49,57,52,43,82,66,24,33,72,70,72,65,28,44,81,10,32,26
87,58,40,55,47,37,78,65,31,37,80,57,67,72,22,44,78,22,36,26
94,43,54,46,55,51,75,65,26,47,75,64,66,67,23,44,80,14,29,26
86,56,43,54,52,48,81,70,26,38,77,62,51,73,18,45,87,25,28,27
91,45,48,50,57,49,85,60,19,35,67,67,64,68,17,60,86,21,36,27
90,45,51,52,53,49,83,68,22,39,77,63,68,64,14,57,78,18,34,29
98,52,49,52,53,40,81,60,26,44,77,65,61,69,18,53,80,19,25,33
94,54,46,51,45,43,81,69,23,38,78,54,64,72,19,54,82,20,30,27
86,48,53,57,49,50,82,63,33,39,70,58,74,66,22,48,68,14,34,25
86,48,55,53,54,48,78,62,28,40,80,61,66,62,20,45,80,22,29,28
92,50,41,51,49,46,73,75,22,40,73,67,66,64,21,56,79,16,34,29
84,48,44,52,55,39,82,60,24,31,83,63,62,72,19,45,85,28,29,39
93,59,41,53,46,45,86,68,24,37,74,57,65,64,27,47,76,15,35,29
89,46,55,69,66,36,82,57,24,36,76,55,55,71,23,43,83,20,28,33
89,48,47,54,52,47,78,65,27,36,79,59,67,68,15,53,82,16,30,29
92,55,47,57,41,50,80,62,28,38,80,62,62,74,21,41,73,15,39,33
94,61,43,64,51,43,73,62,28,39,62,68,60,69,24,48,75,19,35,24
85,47,44,54,44,57,84,58,21,43,80,64,64,64,23,46,82,18,37,27
92,54,42,57,48,41,82,72,21,41,78,63,62,64,19,43,79,23,25,44
82,52,57,58,53,49,74,58,19,30,68,72,66,68,20,49,80,21,33,25
86,48,47,48,58,50,75,60,28,44,72,65,58,66,27,41,79,15,43,34
94,47,53,47,52,48,75,65,30,46,72,61,59,68,21,46,84,20,26,37
97,60,44,52,47,43,79,73,24,44,69,61,56,69,18,52,79,13,31,34
90,56,47,48,54,53,77,57,25,34,81,67,71,68,23,48,83,22,22,25
93,64,51,44,49,48,76,57,28,42,73,68,64,69,23,50,70,14,31,30
84,52,44,52,40,49,71,62,26,45,74,72,59,69,25,53,83,20,29,33
84,46,46,53,53,55,80,61,26,40,80,63,63,65,21,60,76,17,25,30
83,55,42,61,42,50,85,68,26,42,64,62,59,69,23,53,81,15,35,36
86,58,52,57,48,48,82,61,26,40,76,63,60,69,16,53,79,15,31,28
99,40,46,61,54,42,74,62,25,42,69,57,61,69,21,52,82,23,28,30
90,56,52,58,44,48,82,58,19,41,67,67,59,76,23,51,66,18,31,33
92,43,50,60,44,46,79,57,34,42,73,59,66,63,18,52,75,15,38,34
91,66,57,56,49,45,71,57,21,42,75,63,60,67,24,41,79,21,32,25
85,54,51,49,48,49,77,67,23,38,81,61,70,73,22,52,70,21,31,26
86,53,47,47,41,48,77,66,20,39,81,58,63,78,22,48,89,23,30,28
91,47,47,56,43,49,79,67,24,44,68,56,74,66,20,53,89,16,28,27
94,59,52,47,43,39,77,58,28,38,77,67,62,68,18,58,79,22,31,32
89,58,55,48,51,52,82,69,26,38,78,66,62,60,17,48,84,13,30,26
