"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
89,58,46,49,48,43,77,57,22,36,75,53,68,74,21,48,81,19,39,34
84,51,55,48,45,52,78,65,23,38,69,66,64,75,26,42,77,23,32,23
88,53,53,45,48,49,77,60,27,32,74,66,63,77,20,51,70,18,33,34
88,50,48,46,50,46,81,56,28,34,78,61,57,72,24,64,78,16,36,34
93,48,43,53,49,50,84,61,33,38,76,56,67,66,19,41,76,25,26,32
87,58,50,63,44,46,67,60,22,39,68,60,62,68,25,53,79,24,30,24
91,45,58,51,49,41,77,65,32,46,70,52,58,63,22,46,85,16,37,33
87,55,58,59,44,45,78,66,18,45,58,64,65,61,25,43,88,25,34,29
80,52,42,60,46,41,80,63,27,43,69,68,64,68,19,48,87,18,34,29
83,52,48,54,56,48,76,62,26,45,71,66,58,65,22,52,74,21,28,29
92,49,42,57,37,48,78,56,25,35,81,64,69,72,20,54,79,19,30,36
86,42,44,58,54,45,82,76,26,40,69,52,66,71,23,43,82,20,35,26
94,60,40,51,46,46,69,73,35,40,69,64,65,65,20,42,80,19,27,38
77,49,54,59,52,43,78,66,26,41,79,68,57,73,16,46,81,17,33,30
83,46,45,57,53,50,86,58,35,32,72,64,56,68,26,46,82,20,30,27
84,51,48,57,50,49,75,57,30,33,75,64,61,69,21,50,82,18,31,33
82,47,43,55,54,51,75,61,33,48,79,56,61,64,21,47,80,14,35,32
84,48,41,52,49,41,76,65,36,36,64,66,73,74,22,44,82,25,33,30
99,45,40,58,50,44,82,70,28,40,73,66,57,61,23,44,77,20,33,31
90,58,45,55,47,45,75,61,28,35,72,66,64,73,26,45,84,12,30,31
89,51,48,54,44,52,80,60,32,37,76,58,71,76,17,54,79,14,24,34
92,51,52,41,54,53,78,57,27,38,73,60,64,61,23,47,75,22,34,37
75,56,49,48,45,47,78,68,34,39,61,66,71,65,26,43,79,19,39,30
82,54,47,56,51,52,74,67,27,37,74,67,60,65,27,38,85,19,27,32
95,50,49,51,41,46,76,62,28,43,67,67,55,68,20,47,78,22,36,33
85,60,54,41,51,44,78,64,27,44,78,52,64,67,22,50,73,25,42,23
75,68,46,51,50,57,65,62,23,38,67,56,68,71,22,47,88,14,36,41
96,45,40,46,48,50,80,57,31,36,75,60,60,74,20,57,74,24,32,29
81,55,49,49,50,44,75,65,26,45,69,63,68,67,25,46,79,19,40,31
89,53,49,58,47,45,81,63,25,32,71,65,58,61,29,49,79,12,32,35
89,49,54,50,49,59,73,54,30,45,78,57,59,69,18,44,86,19,29,34
85,53,41,55,46,43,77,63,29,39,79,57,67,67,20,45,85,15,28,35
85,50,44,57,44,52,76,66,22,39,76,60,66,72,21,52,82,20,28,31
91,52,54,64,37,57,76,63,24,39,64,51,60,69,20,49,81,24,38,28
96,50,44,60,47,49,70,60,26,50,68,70,53,63,24,49,82,16,28,30
94,52,44,65,51,50,77,57,29,32,76,65,52,71,22,50,81,19,35,26
90,50,58,55,42,44,78,65,32,44,59,68,61,73,18,50,73,24,29,30
88,50,51,57,55,46,84,54,27,41,66,66,56,69,26,51,79,13,34,32
91,50,54,53,51,44,76,67,30,44,78,56,63,67,27,46,72,18,33,30
91,59,44,47,47,58,69,63,28,35,72,66,61,71,18,46,94,15,33,26
96,53,48,46,40,48,77,67,21,38,75,56,61,71,21,56,78,23,34,30
84,48,53,56,57,44,79,57,27,39,78,55,60,78,21,50,80,21,31,27
89,52,49,54,47,50,74,70,26,41,68,62,62,69,19,49,84,21,27,34
82,59,46,55,43,52,71,66,29,43,75,65,62,67,23,50,83,12,34,33
92,49,55,53,48,42,83,64,27,40,71,61,59,62,28,46,75,20,28,31
79,56,47,56,45,48,69,63,31,31,65,61,65,69,23,49,79,23,36,34
92,51,51,48,49,45,75,62,27,39,77,58,65,60,29,44,76,23,33,28
94,45,41,47,46,44,80,57,27,41,77,64,59,70,24,55,86,23,32,36
87,60,48,51,55,48,74,69,22,37,69,58,58,74,22,51,87,22,23,33
76,59,50,54,47,48,88,64,26,40,69,60,63,67,18,47,86,21,33,26
